"OptionSet","Exploit","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","All",1,0,1,0.499999,0.82517,0.699475,1,1,0.762505,0.124046,,,0.00111181,,,,,0.259616,0.166475,0.182161,0.265448,10.1966,9.52007,10.1966,9.52007,0.283345,0.155642,0.249547,0.405189,0.130286,0.262704,0,0,0.00111181,0.5,0.304671,0.211531,0.0901115,0.499999,0,4.5156E-06,0.82517,0.699475,0.17483,0.125695,0.00111181,0.259616,0.166475,0.133807,0.0483543
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","DisputeArises",1,0,1,0.499999,0.82517,0.699475,1,1,0.762505,0.124046,,,0.00111181,,,,,0.259616,0.166475,0.182161,0.265448,10.1966,9.52007,10.1966,9.52007,0.283345,0.155642,0.249547,0.405189,0.130286,0.262704,0,0,0.00111181,0.5,0.304671,0.211531,0.0901115,0.499999,0,4.5156E-06,0.82517,0.699475,0.17483,0.125695,0.00111181,0.259616,0.166475,0.133807,0.0483543
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","PFiles",0.8252,0,0.82517,0.538549,1,0.847674,1,1,0.762505,0.124046,,,0.00134737,,,,,0.314621,0.201747,0.220756,0.265448,10.2382,9.41839,10.2382,9.41839,0.343378,0.188618,0.244265,0.432882,0.15789,0.260209,0,0,0.00134737,0.5,0.369223,0.256349,0.109204,0.54778,0,0.24616,1,0.847674,0,0.152326,0.00134737,0.314621,0.201747,0.162157,0.0585992
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","DAnswers",0.6995,0,0.699475,0.478513,1,1,1,1,0.762505,0.124046,,,0.00158949,,,,,0.371158,0.238,0.260425,0.265448,10.1283,9.49357,10.1283,9.49357,0.378128,0.212112,0.262764,0.474876,0.175862,0.303159,0,0,0.00158949,0.5,0.435571,0.302414,0.128827,0.476917,0,0.494201,1,1,0,0,0.00158949,0.371158,0.238,0.191296,0.0691293
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","Litigated",0.6995,0,0.699475,0.478513,1,1,1,1,0.762505,0.124046,,,0.00158949,,,,,0.371158,0.238,0.260425,0.265448,10.1283,9.49357,10.1283,9.49357,0.378128,0.212112,0.262764,0.474876,0.175862,0.303159,0,0,0.00158949,0.5,0.435571,0.302414,0.128827,0.476917,0,0.494201,1,1,0,0,0.00158949,0.371158,0.238,0.191296,0.0691293
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","Not Litigated",0.3005,0,0.300525,0.550008,0.41825,0,1,1,,,,,0,,,,,0,0,0,,10.3555,9.58175,10.3555,9.58175,0.0627376,0.024206,0.218785,0.242991,0.024206,0.168544,0,0,0,,0,0,0,0.553723,0,-1.15024,0.41825,0,0.58175,0.41825,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","Settles",0.0011,0,0.00111181,0.865238,1,1,1,1,0.5,0.5,,,1,,,,,0,0,0,,10.35,9.35,10.35,9.35,0.3,0.0408073,0.609193,0.65,0.0265247,0.395975,0,0,1,0.5,0,0,0,0.93722,0,-2.34982,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","Tried",0.1822,0,0.182161,0.353603,1,1,1,1,0.876172,0.100689,,,0,,,,,0,0,1,0.265448,9.75435,9.64565,9.75435,9.64565,0.6,0.303612,0.258831,0.562444,0.410631,0.452955,0,0,0,,0,0,0,0.308825,0,1.99233,1,1,0,0,0,0,0,0.734552,0.265448
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","PWins",0.0484,0,0.0483543,0.564896,1,1,1,1,0.880372,0.101005,,,0,,,,,0,0,1,1,11.15,8.25,11.15,8.25,0.6,1.14377,0,1.14377,1.54694,0,0,0,0,,0,0,0,0.606226,0,1.41189,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","DWins",0.1338,0,0.133807,0.277248,1,1,1,1,0.874654,0.100575,,,0,,,,,0,0,1,0,9.25,10.15,9.25,10.15,0.6,0,0.352366,0.352366,0,0.616641,0,0,0,,0,0,0,0.201352,0,2.20209,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","Abandoned",0.5162,0,0.516203,0.521759,1,1,1,1,0.722958,0.131479,,,0,,,,,0.502934,0.3225,0,,10.2598,9.44022,10.2598,9.44022,0.3,0.180192,0.263406,0.443597,0.0933371,0.250098,0,0,0,,0.590217,0.409783,0.174566,0.535243,0,-0.0283446,1,1,0,0,0,0.502934,0.3225,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","Rounds1",0.6094,0,0.609364,0.439747,1,1,1,1,0.779893,0.119799,,,0.00182454,,,,,0.426044,0.273195,0.298936,0.265448,10.0955,9.5148,10.0955,9.5148,0.389681,0.218083,0.22167,0.439754,0.183755,0.265271,0,0,0.00182454,0.5,0.426044,0.273195,0,0.424442,0,0.81887,1,1,0,0,0.00182454,0.426044,0.273195,0.219584,0.079352
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","Truly Liable",0.5,0,0.499999,0.716724,0.904025,0.667185,1,1,0.787475,0.145903,,,0.00208403,,,,,0.114101,0.288583,0.112512,0.521076,10.5097,9.22087,10.5097,9.22087,0.269435,0.0985008,0.499096,0.597596,0.0411574,0.525409,0,0,0.00208403,0.5,0.189054,0.363535,0.149905,1,0,-0.584786,0.904025,0.667185,0.0959747,0.236841,0.00208403,0.114101,0.288583,0.0538847,0.0586273
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","Truly Not Liable",0.5,0,0.500001,0.283275,0.746315,0.731766,1,1,0.739738,0.104118,,,0.0001396,,,,,0.40513,0.0443687,0.25181,0.15123,9.88347,9.81928,9.88347,9.81928,0.297255,0.212782,0,0.212782,0.219414,0,0,0,0.0001396,0.5,0.420289,0.0595278,0.0303183,0,0,0.584793,0.746315,0.731766,0.253685,0.0145489,0.0001396,0.40513,0.0443687,0.213729,0.0380813
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","AllCount",5750,0,5750,0.499999,4744.73,4021.98,5750,5750,0.762505,0.124046,,,6.39292,,,,,1492.79,957.234,1047.43,615.839,10.1966,9.52007,10.1966,9.52007,0.283345,0.155642,0.249547,0.405189,0.130286,0.262704,0,0,6.39292,0.5,1751.86,1216.3,518.141,2874.99,0,4.5156E-06,4744.73,4021.98,1005.27,722.743,6.39292,1492.79,957.234,769.389,278.037
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","Liability Strength1",0.2261,0,0.226109,0.1,0.663396,0.663396,1,1,0.716984,0.100147,,,1.2159E-14,,,,,0.458866,6.97971E-08,0.20453,3.76612E-5,9.77779,9.96183,9.77779,9.96183,0.260378,0.0660925,0.0488467,0.114939,0.00993488,0.0627383,0,0,1.2159E-14,0.495466,0.458866,1.4809E-07,1.56586E-07,0.0399657,0,1.04554,0.663396,0.663396,0.336604,6.31236E-13,1.2159E-14,0.458866,6.97971E-08,0.204522,7.7028E-6
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","Liability Strength2",0.1902,0,0.190222,0.3,0.761815,0.761815,1,1,0.738822,0.100719,,,2.27891E-09,,,,,0.45455,0.000414476,0.306235,0.0227808,9.71596,9.96362,9.71596,9.96362,0.320415,0.0683989,0.217808,0.286206,0.0277045,0.297662,0,0,2.27891E-9,0.5,0.454858,0.000722075,0.000615198,0.169489,0,0.595569,0.761815,0.761815,0.238185,1.36119E-07,2.27891E-09,0.45455,0.000414476,0.299258,0.0069763
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","Liability Strength3",0.1673,0,0.16734,0.5,0.846612,0.845902,1,1,0.764028,0.103586,,,9.97867E-06,,,,,0.350735,0.0678194,0.361559,0.5,10.101,9.53668,10.101,9.53668,0.362345,0.320565,0.46307,0.783635,0.400063,0.608327,0,0,9.97867E-6,0.5,0.383624,0.100709,0.0657784,0.5,0,3.38431E-08,0.846612,0.845902,0.153388,0.000710163,9.97867E-06,0.350735,0.0678194,0.18078,0.18078
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","Liability Strength4",0.1902,0,0.190222,0.7,0.910556,0.821414,1,1,0.790488,0.124623,,,0.000998332,,,,,0.0557527,0.415933,0.088909,0.977219,10.6106,9.1029,10.6106,9.1029,0.286468,0.274219,0.334195,0.608414,0.234126,0.295574,0,0,0.00099833,0.5,0.185663,0.545843,0.25982,0.830511,0,-0.595567,0.910556,0.821414,0.0894435,0.0891427,0.000998332,0.0557527,0.415933,0.00202543,0.086884
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","Liability Strength5",0.2261,0,0.226107,0.9,0.952541,0.472155,1,1,0.815635,0.215576,,,0.00406992,,,,,0.000437857,0.335806,0.001091,0.999962,10.7421,9.04383,10.7421,9.04383,0.214032,0.0967714,0.247712,0.344484,0.0499194,0.149815,0,0,0.00406992,0.5,0.065813,0.401181,0.13075,0.960034,0,-1.04553,0.952541,0.472155,0.0474588,0.480387,0.00406992,0.000437857,0.335806,4.10725E-8,0.0010905
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","PLiabilitySignal1",0.1748,0,0.17483,0.318051,0,0,1,1,,,,,0,,,,,0,0,0,,10,10,10,10,0,0,0.27448,0.27448,0,0.27448,0,0,0,,0,0,0,0.27448,0,-1.16181,0,0,1,0,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","PLiabilitySignal2",0.2123,0,0.21228,0.402076,1,0.925305,1,1,0.658182,0.111838,,,0.00183216,,,,,0.7287,7.79393E-17,3.11E-16,0.140005,10.023,9.68821,10.023,9.68821,0.288796,0.12699,0.284132,0.411122,0.0433433,0.30374,0,0,0.00183216,0.5,0.826086,0.0973864,0.194773,0.377993,0,-0.54831,1,0.925305,0,0.0746951,0.00183216,0.7287,7.79393E-17,2.6714E-16,4.349E-17
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","PLiabilitySignal3",0.2258,0,0.22578,0.499996,1,0.876024,1,1,0.669032,0.119555,,,0.00320171,,,,,0.464732,0.061567,0.130538,0.191676,10.1144,9.56508,10.1144,9.56508,0.320565,0.144373,0.308415,0.452788,0.095099,0.333501,0,0,0.00320171,0.5,0.572725,0.16956,0.215985,0.499996,0,2E-05,1,0.876024,0,0.123976,0.00320171,0.464732,0.061567,0.105517,0.025021
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","PLiabilitySignal4",0.2123,0,0.21228,0.597924,1,0.816252,1,1,0.886412,0.129747,,,3.20523E-17,,,,,0,0.363782,0.45247,0.253652,10.3441,9.24771,10.3441,9.24771,0.408179,0.247595,0.189621,0.437216,0.263701,0.215086,0,0,3.2052E-17,0.877975,0,0.363782,0,0.622007,0,0.54831,1,0.816252,0,0.183748,3.20523E-17,0,0.363782,0.3377,0.11477
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","PLiabilitySignal5",0.1748,0,0.17483,0.681949,1,0.754957,1,1,0.895162,0.141461,,,4.10447E-17,,,,,0,0.430997,0.32396,0.323841,10.531,9.10857,10.531,9.10857,0.360432,0.248974,0.179362,0.428336,0.249586,0.167491,0,0,4.1045E-17,0.890052,0,0.430997,0,0.72552,0,1.16181,1,0.754957,0,0.245043,4.10447E-17,0,0.430997,0.219048,0.104912
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","DLiabilitySignal1",0.2137,0,0.213659,0.12847,0.67739,0.67739,1,1,0.72049,0.1,,,1.37594E-16,,,,,0.458303,0,0.219088,0.00553898,9.76924,9.96181,9.76924,9.96181,0.268943,0.066571,0.0730455,0.139617,0.0127256,0.0963759,0,0,1.3759E-16,0.104777,0.458303,0,0,0.0586162,0,1.28737,0.67739,0.67739,0.32261,0,1.37594E-16,0.458303,0,0.217874,0.0012135
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","DLiabilitySignal2",0.1989,0,0.198895,0.284476,0.752313,0.752313,1,1,0.738564,0.100777,,,1.24587E-16,,,,,0.450751,0,0.301562,0.111796,9.77027,9.91357,9.77027,9.91357,0.316162,0.0986861,0.220203,0.318889,0.0725871,0.298943,0,0,1.2459E-16,0.100639,0.450751,0,0,0.186556,0,0.575425,0.752313,0.752313,0.247687,0,1.24587E-16,0.450751,0,0.267848,0.0337134
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Noise 2,0.5","0","DLiabilitySignal3",0.1749,0,0.174895,0.5,0.842878,0.842878,1,1,0.765066,0.101048,,,1.03335E-16,,,,,0.411923,0,0.430956,0.549137,10.0646,9.55321,10.0646,9.55321,0.38215,0.296404,0.440967,0.737371,0.355657,0.581378,0,0,1.0333E-16,0.106212,0.411923,0,0,0.5,0,1.18034E-15,0.842878,0.842878,0.157122,0,1.03335E-16,0.411923,0,0.194302,0.236654
