"OptionSet","Exploit","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","All",1,0,1,0.499999,0.707814,0.662848,1,1,0.767552,0.189137,,,0.00631952,,,,,0.203571,0.202946,0.152688,0.279688,10.173,9.5756,10.173,9.5756,0.251406,0.150114,0.281331,0.431445,0.132166,0.30084,0,0,0.00631952,0.5,0.252232,0.251607,0.0973222,0.499999,0,4.5156E-06,0.707814,0.662848,0.292186,0.0449665,0.00631952,0.203571,0.202946,0.109983,0.042705
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","DisputeArises",1,0,1,0.499999,0.707814,0.662848,1,1,0.767552,0.189137,,,0.00631952,,,,,0.203571,0.202946,0.152688,0.279688,10.173,9.5756,10.173,9.5756,0.251406,0.150114,0.281331,0.431445,0.132166,0.30084,0,0,0.00631952,0.5,0.252232,0.251607,0.0973222,0.499999,0,4.5156E-06,0.707814,0.662848,0.292186,0.0449665,0.00631952,0.203571,0.202946,0.109983,0.042705
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","PFiles",0.7078,0,0.707814,0.561176,1,0.936471,1,1,0.767552,0.189137,,,0.00892823,,,,,0.287606,0.286723,0.215718,0.279688,10.2444,9.4004,10.2444,9.4004,0.355186,0.212081,0.266997,0.479078,0.186724,0.294559,0,0,0.00892823,0.5,0.356354,0.355471,0.137497,0.575931,0,0.377883,1,0.936471,0,0.0635286,0.00892823,0.287606,0.286723,0.155384,0.0603337
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","DAnswers",0.6628,0,0.662848,0.539985,1,1,1,1,0.767552,0.189137,,,0.0095339,,,,,0.307116,0.306174,0.230352,0.279688,10.2033,9.42757,10.2033,9.42757,0.369106,0.222583,0.275517,0.4981,0.195506,0.313102,0,0,0.0095339,0.5,0.380528,0.379586,0.146824,0.551048,0,0.470969,1,1,0,0,0.0095339,0.307116,0.306174,0.165925,0.0644266
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","Litigated",0.6628,0,0.662848,0.539985,1,1,1,1,0.767552,0.189137,,,0.0095339,,,,,0.307116,0.306174,0.230352,0.279688,10.2033,9.42757,10.2033,9.42757,0.369106,0.222583,0.275517,0.4981,0.195506,0.313102,0,0,0.0095339,0.5,0.380528,0.379586,0.146824,0.551048,0,0.470969,1,1,0,0,0.0095339,0.307116,0.306174,0.165925,0.0644266
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","Not Litigated",0.3372,0,0.337152,0.421387,0.133371,0,1,1,,,,,0,,,,,0,0,0,,10.1134,9.86663,10.1134,9.86663,0.0200057,0.0076379,0.292763,0.300401,0.00763789,0.276732,0,0,0,,0,0,0,0.399636,0,-0.925919,0.133371,0,0.866629,0.133371,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","Settles",0.0063,0,0.00631952,0.84475,1,1,1,1,0.5,0.5,,,1,,,,,0,0,0,,10.35,9.35,10.35,9.35,0.3,0.052067,0.597933,0.65,0.0338436,0.388656,0,0,1,0.5,0,0,0,0.919897,0,-2.17604,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","Tried",0.1527,0,0.152688,0.363025,1,1,1,1,0.881395,0.103707,,,0,,,,,0,0,1,0.279688,9.71531,9.68469,9.71531,9.68469,0.6,0.360821,0.285312,0.646133,0.532032,0.542093,0,0,0,,0,0,0,0.32075,0,2.18098,1,1,0,0,0,0,0,0.720312,0.279688
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","PWins",0.0427,0,0.042705,0.567165,1,1,1,1,0.882328,0.101547,,,0,,,,,0,0,1,1,11.3,8.1,11.3,8.1,0.6,1.29008,0,1.29008,1.90223,0,0,0,0,,0,0,0,0.609916,0,1.57583,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","DWins",0.11,0,0.109983,0.283761,1,1,1,1,0.881032,0.104546,,,0,,,,,0,0,1,0,9.1,10.3,9.1,10.3,0.6,0,0.396095,0.396095,0,0.752581,0,0,0,,0,0,0,0.208471,0,2.41594,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","Abandoned",0.5038,0,0.50384,0.58979,1,1,1,1,0.736408,0.211127,,,0,,,,,0.40404,0.402799,0,,10.3494,9.35062,10.3494,9.35062,0.3,0.182829,0.268505,0.451333,0.0955499,0.242759,0,0,0,,0.50062,0.49938,0.193161,0.616213,0,-0.0140469,1,1,0,0,0,0.40404,0.402799,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","Rounds1",0.5655,0,0.565525,0.500918,1,1,1,1,0.788361,0.175744,,,0.0111746,,,,,0.359968,0.358863,0.269994,0.279688,10.1781,9.44092,10.1781,9.44092,0.380998,0.233601,0.227326,0.460928,0.210679,0.26807,0,0,0.0111746,0.5,0.359968,0.358863,0,0.498794,0,0.827637,1,1,0,0,0.0111746,0.359968,0.358863,0.19448,0.0755139
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Risk Neutral Noise 2,0.5","0","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
