Filter,Assessment,Data Type
P Doesn't File,False Negatives,Values,
P Doesn't File,False Negatives,Probabilities,
D Doesn't Answer,False Negatives,Values,
D Doesn't Answer,False Negatives,Probabilities,
Settles,False Negatives,Values,0.9,0.8,0.7,0.6000000000000001,0.6,0.5,0.4,0.30000000000000004,0.19999999999999996,0.09999999999999998,0
Settles,False Negatives,Probabilities,0.046579948447419764,0.00032395516201659676,0.00033888078964413985,0.00033783525640870935,7.95583812999588E-06,0.015774153105149707,0.0003963375511881164,0.00039796121629457866,0.0003927753374432193,0.29495000089728923,0.35984634809947846
P Abandons,False Negatives,Values,1,0
P Abandons,False Negatives,Probabilities,0.0035989385108460793,0.016156133025301188
D Defaults,False Negatives,Values,0,0
D Defaults,False Negatives,Probabilities,0.003694190478270742,0.016587330185120864
P Loses,False Negatives,Values,1.225,0
P Loses,False Negatives,Probabilities,0.03810873104710568,0.08220069024253739
P Wins,False Negatives,Values,0,0
P Wins,False Negatives,Probabilities,0.0381087251039329,0.08219910970642441
P Doesn't File,False Positives,Values,
P Doesn't File,False Positives,Probabilities,
D Doesn't Answer,False Positives,Values,
D Doesn't Answer,False Positives,Probabilities,
Settles,False Positives,Values,0.9,0.8,0.7,0.6,0.5,0.4,0.39999999999999997,0.3,0.2,0.1,0
Settles,False Positives,Probabilities,0.04648903799827689,0.0003187122286958038,0.0003244690458828927,0.0003231396053705598,0.015766414768440252,7.955838143733399E-06,0.0004161427917773061,0.00041562634632248837,0.0003990454014934501,0.295385804075075,0.35949980360098394
P Abandons,False Positives,Values,0,0
P Abandons,False Positives,Probabilities,0.016156133025301188,0.0035989385108460793
D Defaults,False Positives,Values,1,0
D Defaults,False Positives,Probabilities,0.003694190478270742,0.016587330185120864
P Loses,False Positives,Values,0,0
P Loses,False Positives,Probabilities,0.08220069024253739,0.03810873104710568
P Wins,False Positives,Values,1.225,0.2250000000000001
P Wins,False Positives,Probabilities,0.0381087251039329,0.08219910970642441
P Doesn't File,Total Expenditures,Values,
P Doesn't File,Total Expenditures,Probabilities,
D Doesn't Answer,Total Expenditures,Values,
D Doesn't Answer,Total Expenditures,Probabilities,
Settles,Total Expenditures,Values,0,0
Settles,Total Expenditures,Probabilities,0.35984634809947846,0.35949980360098394
P Abandons,Total Expenditures,Values,0,0
P Abandons,Total Expenditures,Probabilities,0.016156133025301188,0.0035989385108460793
D Defaults,Total Expenditures,Values,0,0
D Defaults,Total Expenditures,Probabilities,0.003694190478270742,0.016587330185120864
P Loses,Total Expenditures,Values,0.14999999999999997,0.14999999999999997
P Loses,Total Expenditures,Probabilities,0.08220069024253739,0.03810873104710568
P Wins,Total Expenditures,Values,0.15000000000000013,0.15000000000000013
P Wins,Total Expenditures,Probabilities,0.0381087251039329,0.08219910970642441
