Filter,Assessment,Data Type
P Doesn't File,False Negatives,Values,1,0.75,0.5,0.25,0,0
P Doesn't File,False Negatives,Probabilities,3.8678883211322495E-08,0.0001541346834831492,0.01815479346631622,0.10116185459985969,0,0.1405024893052076
D Doesn't Answer,False Negatives,Values,0.6,0.35,0.09999999999999998,0,0
D Doesn't Answer,False Negatives,Probabilities,0.1999710507359348,0.197450210474269,0.1556039148814946,0,0.06216342184543245
Settles,False Negatives,Values,1.5,1.4,1.3,1.25,1.2,1.15,1.1,1.05,1,0.95,0.9,0.8999999999999999,0.85,0.8,0.7999999999999999,0.75,0.7,0.65,0.6499999999999999,0.6,0.55,0.5499999999999999,0.5,0.45,0.44999999999999996,0.4,0.39999999999999997,0.35,0.3,0.29999999999999993,0.25,0.2,0.19999999999999996,0.15000000000000002,0.09999999999999998,0.04999999999999993,0,0
Settles,False Negatives,Probabilities,1.2541867383887378E-08,2.2183857963926336E-09,1.2296647713032333E-07,0.0001289792361523909,1.3487452016783834E-07,2.3619281017180966E-05,4.994768369799805E-07,3.338011432171739E-05,0.00659976170893619,3.129858030612818E-05,1.419163536755588E-06,0.0016032801682045875,4.718336498100455E-05,0.0016070624571642058,1.065811243072544E-06,0.009082739397106507,0.001487426529149432,0.0001317627157898579,0.0026344373970930627,0.001648737011977623,0.0032479025641584448,0.00011428969935304796,0.005330755866551569,0.0015781120885080982,0.0010793103001878457,0.0008374520171185337,0.0016264771689895121,0.003405606746972872,0.002171073127122553,0.0006560021669004538,0.0018238134577837693,0.0006142154882390201,0.0009689029501021528,0.0019460328620676984,0.0018598794741678526,0.0011093698421651512,0,0.004538835720525656
P Abandons,False Negatives,Values,1.6,1.35,1.1,0.85,0.6,0
P Abandons,False Negatives,Probabilities,3.785934170575047E-10,4.172391369420008E-06,0.0005042676010617054,0.005349435580729882,0.008018093653371723,0
D Defaults,False Negatives,Values,0.6,0.35,0.09999999999999998,0,0
D Defaults,False Negatives,Probabilities,1.5494995437835192E-05,0.0014247611601379447,0.004665322005344901,0,0.0067654544893676226
P Loses,False Negatives,Values,
P Loses,False Negatives,Probabilities,
P Wins,False Negatives,Values,2.2,1.95,1.7,1.45,1.2,0.95,0.7,0.44999999999999996,0.19999999999999996,0
P Wins,False Negatives,Probabilities,5.861180547422852E-12,1.5732215408476144E-07,0.00013851199077269947,0.005460099646912549,0.022868568142447733,0.010612696723402159,0.0010229642803418898,1.7100055357585133E-05,3.4350472906254306E-08,0
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0,0.2599733107337499
D Doesn't Answer,False Positives,Values,1,1,0.75,0.5,0.25,0
D Doesn't Answer,False Positives,Probabilities,0,0.016784742386094797,0.045378679459337656,0.1556039148814946,0.197450210474269,0.1999710507359348
